Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hamann, Heiko; Soorati, Mohammad Divband; Heinrich, Mary Katherine; Hofstadler, Daniel Nicolas; Kuksin, Igor; Veenstra, Frank; Wahby, Mostafa; Nielsen, Stig Anton; Risi, Sebastian; Skrzypczak, Tomasz; ",Flora robotica--An Architectural System Combining Living Natural Plants and Distributed Robots,arXiv preprint arXiv:1709.04291,,,,2017,
"Liu, Ceyue; Liu, Jiangong; Moreno, Rodrigo; Veenstra, Frank; Faina, Andres; ",The impact of module morphologies on modular robots,2017 18th International Conference on Advanced Robotics (ICAR),,,237-243,2017,IEEE
"Veenstra, Frank; Struck, Alexander; Krauledat, Matthias; ",Acquiring efficient locomotion in a simulated quadruped through evolving random and predefined neural networks,Artificial Evolution,,,,2015,
"Hamann, Heiko; Khaluf, Yara; Botev, Jean; Divband Soorati, Mohammad; Ferrante, Eliseo; Kosak, Oliver; Montanier, Jean-Marc; Mostaghim, Sanaz; Redpath, Richard; Timmis, Jon; ",Hybrid societies: challenges and perspectives in the design of collective behavior in self-organizing systems,Frontiers in Robotics and AI,3,,14,2016,Frontiers
"Veenstra, Frank; Faina, Andres; Risi, Sebastian; Stoy, Kasper; ",Evolution and morphogenesis of simulated modular robots: a comparison between a direct and generative encoding,European Conference on the Applications of Evolutionary Computation,,,870-885,2017,Springer
"Veenstra, Frank; Metayer, Chloe; Risi, Sebastian; Stoy, Kasper; ",Toward Energy Autonomy in Heterogeneous Modular Plant-Inspired Robots through Artificial Evolution,Frontiers in Robotics and AI,4,,43,2017,Frontiers
"Veenstra, Frank; Faíña, Andres; Stoy, Kasper; Risi, Sebastian; ",Generating artificial plant morphologies for function and aesthetics through evolving L-systems,Proceedings of the Artificial Life Conference 2016 13,,,692-699,2016,MIT Press
"Hamann, Heiko; Wahby, Mostafa; Schmickl, Thomas; Zahadat, Payam; Hofstadler, Daniel; Stoy, Kasper; Risi, Sebastian; Faina, Andres; Veenstra, Frank; Kernbach, Serge; ",Flora robotica-mixed societies of symbiotic robot-plant bio-hybrids,2015 IEEE Symposium Series on Computational Intelligence,,,1102-1109,2015,IEEE
"Veenstra, Frank; Faina, Andres; Støy, Kasper; Risi, Sebastian; ",Evolving self-organizing simulated plant-inspired robots,Workshop on Methods for Self-Organizing Distributed Systems,,,,2015,
"Veenstra, Frank; Jørgensen, Jonas; Risi, Sebastian; ",Evolution of fin undulation on a physical knifefish-inspired soft robot,Proceedings of the Genetic and Evolutionary Computation Conference,,,157-164,2018,
"Veenstra, Frank; de Prado Salas, Pablo González; Bongard, Josh; Stoy, Kasper; Risi, Sebastian; ",Intrinsic mortality governs evolvability,Artificial Life Conference Proceedings,,,242-249,2018,"MIT Press One Rogers Street, Cambridge, MA 02142-1209 USA journals-info@ mit …"
"Veenstra, Frank; ",The Watchmaker's Guide to Artificial Life: On the Role of Death, Modularity and Physicality in Evolutionary Robotics,,,,,2018,IT-Universitetet i København
"Moreno, Rodrigo; Veenstra, Frank; Silvera, David; Franco, Julian; Gracia, Oscar; Cordoba, Ernesto; Gomez, Jonatan; Faina, Andres; ",Automated reconfiguration of modular robots using robot manipulators,2018 IEEE Symposium Series on Computational Intelligence (SSCI),,,884-891,2018,IEEE
"Veenstra, Frank; Hart, Emma; Buchanan, Edgar; Li, Wei; De Carlo, Matteo; Eiben, Agoston E; ",Comparing encodings for performance and phenotypic exploration in evolving modular robots,Proceedings of the Genetic and Evolutionary Computation Conference Companion,,,127-128,2019,
"Hale, Matthew F; Buchanan, Edgar; Winfield, Alan F; Timmis, Jon; Hart, Emma; Eiben, Agoston E; Angus, Mike; Veenstra, Frank; Li, Wei; Woolley, Robert; ",The are robot fabricator: How to (re) produce robots that can evolve in the real world,Artificial Life Conference Proceedings,,,95-102,2019,"MIT Press One Rogers Street, Cambridge, MA 02142-1209 USA journals-info@ mit …"
"Veenstra, Frank; de Prado Salas, Pablo González; Stoy, Kasper; Bongard, Josh; Risi, Sebastian; ",Death and progress: How evolvability is influenced by intrinsic mortality,Artificial life,26,1,90-111,2020,"MIT Press One Rogers Street, Cambridge, MA 02142-1209 USA journals-info@ mit …"
"Veenstra, Frank; Glette, Kyrre; ",How Different Encodings Affect Performance and Diversification when Evolving the Morphology and Control of 2D Virtual Creatures,Artificial Life Conference Proceedings,,,592-601,2020,"MIT Press One Rogers Street, Cambridge, MA 02142-1209 USA journals-info@ mit …"
"Nordmoen, Jørgen; Veenstra, Frank; Ellefsen, Kai Olav; Glette, Kyrre; ",Quality and Diversity in Evolutionary Modular Robotics,2020 IEEE Symposium Series on Computational Intelligence (SSCI),,,2109-2116,2020,IEEE
"Nordmoen, Jørgen; Veenstra, Frank; Ellefsen, Kai Olav; Glette, Kyrre; ",MAP-Elites enables Powerful Stepping Stones and Diversity for Modular Robotics,arXiv preprint arXiv:2012.04375,,,,2020,
"Altenberg, Lee; Banzhaf, Wolfgang; Bedau, Mark; Biehl, Martin; Canino-Koning, Rosangela; Cowley, Benjamin; Dorin, Alan; Fellerman, Harold; Ferrante, Eliseo; Füchslin, Rudolf; ",Reviewers for Volume 26,,,,,2021,
